197.141.80.4 197.141.80.52 ecec2
197.137.162.68 197.137.206.177 ecec3
193.83.118.117 199.47.254.155 ecec4
196.54.16.34 199.155.252.113 ecec5
197.141.80.19 197.141.80.26 ecec6
57.195.79.231 57.195.110.147 ecec7
57.195.99.51 57.195.99.172 ecec8
57.195.99.8 57.195.99.8 ecec9
57.195.97.223 57.195.105.86 ececa
57.195.96.152 57.195.96.242 ececb
16.66.138.8 31.80.138.179 ececc
27.156.95.84 27.156.95.85 ececd
27.156.70.205 27.156.90.7 ecece
27.156.92.13 27.156.92.27 ececf
27.156.95.93 27.156.95.95 eced0
